source_folder,Filename,Excerpts from DFIR Report,LogSource and Detection,HumValidated
folder_02,net_connection_win_domain_external_ip_lookup.yml,"**External IP Lookup:** ""icanhazip.tacticalrmm.io was used during the execution of Tactical RMM Agent"" **Purpose:** ""This domain was part of the remote management software's infrastructure for retrieving the current public IP address""","logsource:
    category: network_connection
    product: windows
detection:
    selection:
        - DestinationHostname:
              - 'www.ip.cn'
              - 'l2.io'
        - DestinationHostname|contains:
              - 'api.2ip.ua'
              - 'api.bigdatacloud.net'
              - 'api.ipify.org'
              - 'bot.whatismyipaddress.com'
              - 'canireachthe.net'
              - 'checkip.amazonaws.com'
              - 'checkip.dyndns.org'
              - 'curlmyip.com'
              - 'db-ip.com'
              - 'edns.ip-api.com'
              - 'eth0.me'
              - 'freegeoip.app'
              - 'geoipy.com'
              - 'getip.pro'
              - 'icanhazip.com'
              - 'ident.me'
              - 'ifconfig.io'
              - 'ifconfig.me'
              - 'ip-api.com'
              - 'ip.360.cn'
              - 'ip.anysrc.net'
              - 'ip.taobao.com'
              - 'ip.tyk.nu'
              - 'ipaddressworld.com'
              - 'ipapi.co'
              - 'ipconfig.io'
              - 'ipecho.net'
              - 'ipinfo.io'
              - 'ipip.net'
              - 'ipof.in'
              - 'ipv4.icanhazip.com'
              - 'ipv4bot.whatismyipaddress.com'
              - 'ipv6-test.com'
              - 'ipwho.is'
              - 'jsonip.com'
              - 'myexternalip.com'
              - 'seeip.org'
              - 'wgetip.com'
              - 'whatismyip.akamai.com'
              - 'whois.pconline.com.cn'
              - 'wtfismyip.com'
    filter_optional_brave:
        Image|endswith: '\brave.exe'
    filter_optional_chrome:
        Image:
            - 'C:\Program Files\Google\Chrome\Application\chrome.exe'
            - 'C:\Program Files (x86)\Google\Chrome\Application\chrome.exe'
    filter_optional_firefox:
        Image:
            - 'C:\Program Files\Mozilla Firefox\firefox.exe'
            - 'C:\Program Files (x86)\Mozilla Firefox\firefox.exe'
    filter_optional_ie:
        Image:
            - 'C:\Program Files (x86)\Internet Explorer\iexplore.exe'
            - 'C:\Program Files\Internet Explorer\iexplore.exe'
    filter_optional_maxthon:
        Image|endswith: '\maxthon.exe'
    filter_optional_edge_1:
        - Image|startswith: 'C:\Program Files (x86)\Microsoft\EdgeWebView\Application\'
        - Image|endswith: '\WindowsApps\MicrosoftEdge.exe'
        - Image:
              - 'C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe'
              - 'C:\Program Files\Microsoft\Edge\Application\msedge.exe'
    filter_optional_edge_2:
        Image|startswith:
            - 'C:\Program Files (x86)\Microsoft\EdgeCore\'
            - 'C:\Program Files\Microsoft\EdgeCore\'
        Image|endswith:
            - '\msedge.exe'
            - '\msedgewebview2.exe'
    filter_optional_opera:
        Image|endswith: '\opera.exe'
    filter_optional_safari:
        Image|endswith: '\safari.exe'
    filter_optional_seamonkey:
        Image|endswith: '\seamonkey.exe'
    filter_optional_vivaldi:
        Image|endswith: '\vivaldi.exe'
    filter_optional_whale:
        Image|endswith: '\whale.exe'
    condition: selection and not 1 of filter_optional_*",
folder_02,pipe_created_susp_malicious_namedpipes.yml,"**Named Pipe Communication:** ""The presence of logs indicating the use of 'named pipe services' also increases the likelihood of Meterpreter or possibly Cobaltstrike"" **Qbot Named Pipe:** ""Named pipe 'dce_3d' was used for communication"" (from Qbot article)","logsource:
    product: windows
    category: pipe_created
    definition: 'Note that you have to configure logging for Named Pipe Events in Sysmon config (Event ID 17 and Event ID 18). The basic configuration is in popular sysmon configuration (https://github.com/SwiftOnSecurity/sysmon-config), but it is worth verifying. You can also use other repo, e.g. https://github.com/Neo23x0/sysmon-config, https://github.com/olafhartong/sysmon-modular. How to test detection? You can check powershell script from this site https://svch0st.medium.com/guide-to-named-pipes-and-hunting-for-cobalt-strike-pipes-dc46b2c5f575'
detection:
    selection:
        PipeName:
            - '\46a676ab7f179e511e30dd2dc41bd388'
            - '\583da945-62af-10e8-4902-a8f205c72b2e'
            - '\6e7645c4-32c5-4fe3-aabf-e94c2f4370e7'
            - '\9f81f59bc58452127884ce513865ed20'
            - '\adschemerpc'
            - '\ahexec'
            - '\AnonymousPipe'
            - '\bc31a7'
            - '\bc367'
            - '\bizkaz'
            - '\csexecsvc'
            - '\dce_3d'
            - '\e710f28d59aa529d6792ca6ff0ca1b34'
            - '\gruntsvc'
            - '\isapi_dg'
            - '\isapi_dg2'
            - '\isapi_http'
            - '\jaccdpqnvbrrxlaf'
            - '\lsassw'
            - '\NamePipe_MoreWindows'
            - '\pcheap_reuse'
            - '\Posh*'
            - '\rpchlp_3'
            - '\sdlrpc'
            - '\svcctl'
            - '\testPipe'
            - '\winsession'
    condition: selection",
folder_02,posh_pm_susp_reset_computermachinepassword.yml,"**Domain Compromise:** ""Exploited Zerologon vulnerability (CVE-2020-1472) to obtain domain admin privileges"" **Password Reset:** ""Used an executable named 'cool.exe' to reset domain controller password"" **PowerShell Usage:** Reset-ComputerMachinePassword cmdlet used to change computer account password for domain authentication","logsource:
    product: windows
    category: ps_module
    definition: 0ad03ef1-f21b-4a79-8ce8-e6900c54b65b
detection:
    selection:
        ContextInfo|contains: 'Reset-ComputerMachinePassword'
    condition: selection",
folder_02,posh_ps_powerview_malicious_commandlets.yml,"**PowerView Reconnaissance:** ""Get-NetSubnet"" and ""Get-NetComputer -operatingsystem *server*"" **Local Admin Discovery:** ""Invoke-CheckLocalAdminAccess"" and ""Find-LocalAdminAccess"" **Domain Enumeration:** ""Import-Module ActiveDirectory; Get-ADComputer -Filter {enabled -eq $true} -properties *""","logsource:
    product: windows
    category: ps_script
    definition: 'Requirements: Script Block Logging must be enabled'
detection:
    selection:
        ScriptBlockText|contains:
            - 'Export-PowerViewCSV'
            - 'Find-DomainLocalGroupMember'
            - 'Find-DomainObjectPropertyOutlier'
            - 'Find-DomainProcess'
            - 'Find-DomainShare'
            - 'Find-DomainUserEvent'
            - 'Find-DomainUserLocation'
            - 'Find-ForeignGroup'
            - 'Find-ForeignUser'
            - 'Find-GPOComputerAdmin'
            - 'Find-GPOLocation'
            - 'Find-InterestingDomain'
            - 'Find-InterestingFile'
            - 'Find-LocalAdminAccess'
            - 'Find-ManagedSecurityGroups'
            - 'Get-CachedRDPConnection'
            - 'Get-DFSshare'
            - 'Get-DomainDFSShare'
            - 'Get-DomainDNSRecord'
            - 'Get-DomainDNSZone'
            - 'Get-DomainFileServer'
            - 'Get-DomainGPOComputerLocalGroupMapping'
            - 'Get-DomainGPOLocalGroup'
            - 'Get-DomainGPOUserLocalGroupMapping'
            - 'Get-LastLoggedOn'
            - 'Get-LoggedOnLocal'
            - 'Get-NetFileServer'
            - 'Get-NetForest'
            - 'Get-NetGPOGroup'
            - 'Get-NetProcess'
            - 'Get-NetRDPSession'
            - 'Get-RegistryMountedDrive'
            - 'Get-RegLoggedOn'
            - 'Get-WMIRegCachedRDPConnection'
            - 'Get-WMIRegLastLoggedOn'
            - 'Get-WMIRegMountedDrive'
            - 'Get-WMIRegProxy'
            - 'Invoke-ACLScanner'
            - 'Invoke-CheckLocalAdminAccess'
            - 'Invoke-EnumerateLocalAdmin'
            - 'Invoke-EventHunter'
            - 'Invoke-FileFinder'
            - 'Invoke-Kerberoast'
            - 'Invoke-MapDomainTrust'
            - 'Invoke-ProcessHunter'
            - 'Invoke-RevertToSelf'
            - 'Invoke-ShareFinder'
            - 'Invoke-UserHunter'
            - 'Invoke-UserImpersonation'
            - 'Remove-RemoteConnection'
            - 'Request-SPNTicket'
            - 'Resolve-IPAddress'
    condition: selection",
folder_02,proc_creation_win_7zip_exfil_dmp_files.yml,"**7zip Compression:** ""They copied the LSASS dump file from a remote workstation"" **Command Used:** ""C:\Windows\system32\cmd.exe /C 7za.exe a -tzip -mx5 c:\programdata\lsass.zip c:\programdata\lsass.dmp"" **Credential Access:** ""The compression was likely preparation for potential exfiltration""","logsource:
    category: process_creation
    product: windows
detection:
    selection_img:
        - Description|contains: '7-Zip'
        - Image|endswith:
              - '\7z.exe'
              - '\7zr.exe'
              - '\7za.exe'
        - OriginalFileName:
              - '7z.exe'
              - '7za.exe'
    selection_extension:
        CommandLine|contains:
            - '.dmp'
            - '.dump'
            - '.hdmp'
    condition: all of selection_*",
folder_02,proc_creation_win_chcp_codepage_lookup.yml,"**Host Discovery:** ""The threat actors used the 'chcp' command as a discovery technique to determine the system's language and locale"" **Command:** ""cmd.exe /c chcp >&2"" **Purpose:** ""Establishing the country of origin based on the language used"" **Motivation:** ""A fail-safe check to ensure certain users or regions were not targeted""","logsource:
    category: process_creation
    product: windows
detection:
    selection:
        ParentImage|endswith: '\cmd.exe'
        ParentCommandLine|windash|contains:
            - ' -c '
            - ' -r '
            - ' -k '
        Image|endswith: '\chcp.com'
        CommandLine|endswith:
            - 'chcp'
            - 'chcp '
            - 'chcp  '
    condition: selection",
folder_02,proc_creation_win_cmd_copy_dmp_from_share.yml,"**Remote Dump Copy:** ""They copied the LSASS dump file from a remote workstation"" **Command:** ""C:\Windows\system32\cmd.exe /C copy \\<REMOTE_WORKSTATION>\C$\ProgramData\lsass.dmp c:\programdata\lsass.dmp"" **Credential Access:** ""LSASS Memory - T1003.001""","logsource:
    category: process_creation
    product: windows
detection:
    selection_img:
        - Image|endswith: '\cmd.exe'
        - OriginalFileName: 'Cmd.Exe'
    selection_cli:
        CommandLine|contains|all:
            - 'copy '
            - ' \\\\'
        CommandLine|contains:
            - '.dmp'
            - '.dump'
            - '.hdmp'
    condition: all of selection_*",
folder_03,proc_creation_win_conhost_legacy_option.yml,"**ForceV1 Legacy Option:** ""ForceV1 asks for information directly from the kernel space. Conhost connects to the console application"" **High Integrity:** ""High IntegrityLevel means the process is running with elevated privileges, such as an Administrator context""","logsource:
    product: windows
    category: process_creation
detection:
    selection:
        IntegrityLevel:
            - 'High'
            - 'S-1-16-12288'
        CommandLine|contains|all:
            - 'conhost.exe'
            - '0xffffffff'
            - '-ForceV1'
    condition: selection",
folder_03,proc_creation_win_defender_default_action_modified.yml,"**Defender Disabling:** ""The attackers used three batch scripts (fed1.bat, fed2.bat, fed3.bat) to systematically disable Windows Defender"" **Registry Modifications:** ""reg add 'HKLM\Software\Policies\Microsoft\Windows Defender' /v 'DisableAntiSpyware' /t REG_DWORD /d '1' /f"" **Defense Evasion:** ""Disabling real-time monitoring, stopping Defender services, removing context menu handlers""","logsource:
    category: process_creation
    product: windows
detection:
    selection_cmdlet:
        CommandLine|contains: 'Set-MpPreference'
    selection_action:
        CommandLine|contains:
            - '-LowThreatDefaultAction'
            - '-ModerateThreatDefaultAction'
            - '-HighThreatDefaultAction'
            - '-SevereThreatDefaultAction'
            - '-ltdefac '
            - '-mtdefac '
            - '-htdefac '
            - '-stdefac '
    selection_value:
        CommandLine|contains:
            - 'Allow'
            - '6'
            - 'NoAction'
            - '9'
    condition: all of selection_*",
folder_03,proc_creation_win_defender_remove_context_menu.yml,"**Context Menu Removal:** ""Removing context menu handlers"" as part of systematic Windows Defender disabling **Registry Modification:** ""Registry modifications to turn off Defender features"" **Defense Evasion:** ""Disabling Windows Defender Security Center, removing Defender from startup and system tray""","logsource:
    category: process_creation
    product: windows
detection:
    selection_img:
        - Image|endswith:
              - '\powershell_ise.exe'
              - '\powershell.exe'
              - '\pwsh.exe'
              - '\reg.exe'
        - OriginalFileName:
              - 'powershell_ise.EXE'
              - 'PowerShell.EXE'
              - 'pwsh.dll'
              - 'reg.exe'
    selection_action:
        CommandLine|contains:
            - 'del'
            - 'Remove-Item'
            - 'ri '
    selection_reg_path:
        CommandLine|contains: '\shellex\ContextMenuHandlers\EPP'
    condition: all of selection_*",
folder_03,proc_creation_win_driverquery_recon.yml,"**Ursnif Reconnaissance:** ""driverquery.exe was used by Ursnif malware as part of its automated discovery commands"" **Output Redirection:** ""The malware executed 'driverquery.exe' and redirected its output to a temporary file named 'BD2C.bin1' in the user's local temp directory"" **System Discovery:** ""Part of a broader set of discovery commands that included systeminfo, net view, tasklist, and other system enumeration utilities""","logsource:
    category: process_creation
    product: windows
detection:
    selection_img:
        - Image|endswith: 'driverquery.exe'
        - OriginalFileName: 'drvqry.exe'
    selection_parent:
        - ParentImage|endswith:
              - '\cscript.exe'
              - '\mshta.exe'
              - '\regsvr32.exe'
              - '\rundll32.exe'
              - '\wscript.exe'
        - ParentImage|contains:
              - '\AppData\Local\'
              - '\Users\Public\'
              - '\Windows\Temp\'
    condition: all of selection_*",
folder_03,proc_creation_win_driverquery_usage.yml,"**Driver Reconnaissance:** ""driverquery.exe was used by Ursnif malware as part of its automated discovery commands"" **System Information Gathering:** ""Part of a series of discovery commands aimed at gathering system information, which is consistent with the malware's reconnaissance techniques"" **Automated Discovery:** ""Demonstrating the malware's systematic approach to gathering information about the infected system""","logsource:
    category: process_creation
    product: windows
detection:
    selection:
        - Image|endswith: 'driverquery.exe'
        - OriginalFileName: 'drvqry.exe'
    filter_main_other:
        - ParentImage|endswith:
              - '\cscript.exe'
              - '\mshta.exe'
              - '\regsvr32.exe'
              - '\rundll32.exe'
              - '\wscript.exe'
        - ParentImage|contains:
              - '\AppData\Local\'
              - '\Users\Public\'
              - '\Windows\Temp\'
    condition: selection and not 1 of filter_main_*",
folder_03,proc_creation_win_esentutl_params.yml,"**Credential Gathering:** ""Trickbot used esentutl to gather credential-related data"" **Browser Data Access:** ""Accessing MSEdge history, webcache, and saved passwords"" **Conti Recommendation:** ""Conti recommendation to its affiliates to use esentutl to access NTDS dumped file"" **pwgrab Module:** ""Used as part of the 'pwgrab' module for credential theft""","logsource:
    category: process_creation
    product: windows
detection:
    selection:
        CommandLine|contains|all:
            - 'esentutl'
            - ' /p'
    condition: selection",
folder_03,proc_creation_win_esentutl_webcache.yml,"**Browser Data Theft:** ""Qbot used the built-in Windows utility esentutl.exe to collect browser data from Internet Explorer and Microsoft Edge"" **WebCache Targeting:** ""esentutl.exe /r V01 /l'C:\Users\[REDACTED]\AppData\Local\Microsoft\Windows\WebCache'"" **Data Collection:** ""This technique allows Qbot to access and exfiltrate browser-related data, which is part of its broader data collection strategy""","logsource:
    category: process_creation
    product: windows
detection:
    selection_img:
        - Image|endswith: '\esentutl.exe'
        - OriginalFileName: 'esentutl.exe'
    selection_flag:
        CommandLine|windash|contains: '-r'
    selection_webcache:
        CommandLine|contains: '\Windows\WebCache'
    condition: all of selection*",
folder_03,proc_creation_win_exploit_cve_2020_1472_zero_poc.yml,"**ZeroLogon PoC:** ""The threat actors used a custom implementation of the Zerologon (CVE-2020-1472) exploit via an executable named 'zero.exe'"" **Command Format:** ""zero.exe 10.10.10.10 DomainControllerHostName domain.name administrator -c 'powershell.exe'"" **Domain Admin Hash:** ""Purpose: Retrieve the NTLM hash of a Domain Administrator account""","logsource:
    product: windows
    category: process_creation
detection:
    selection_main:
        ParentImage|endswith: '\cmd.exe'
        Image|endswith:
            - '\cool.exe'
            - '\zero.exe'
        CommandLine|contains|all:
            - 'Administrator'
            - '-c'
    selection_payloads_1:
        CommandLine|contains|all:
            - 'taskkill'
            - '/f'
            - '/im'
    selection_payloads_2:
        CommandLine|contains: 'powershell'
    condition: selection_main and 1 of selection_payloads_*",
folder_03,proc_creation_win_hktl_cobaltstrike_bloopers_cmd.yml,"**Operator Mistakes:** ""The threat actors typed 'av_query' into the Windows command prompt, which was not a valid command"" **Command Bloopers:** ""This was likely meant to be a Cobalt Strike aggressor script command for identifying antivirus"" **Accidental Entry:** ""Operators accidentally enter Cobalt Strike-specific commands directly into the host shell, instead of the Cobalt Strike console""","logsource:
    category: process_creation
    product: windows
detection:
    selection_img:
        - OriginalFileName: 'Cmd.Exe'
        - Image|endswith: '\cmd.exe'
    selection_cli:
        CommandLine|startswith:
            - 'cmd '
            - 'cmd.exe'
            - 'c:\windows\system32\cmd.exe'
        CommandLine|contains:
            - 'psinject'
            - 'spawnas'
            - 'make_token'
            - 'remote-exec'
            - 'rev2self'
            - 'dcsync'
            - 'logonpasswords'
            - 'execute-assembly'
            - 'getsystem'
    condition: all of selection_*",
folder_03,proc_creation_win_hktl_cobaltstrike_bloopers_modules.yml,"**Module Bloopers:** ""Operators accidentally enter Cobalt Strike-specific commands directly into the host shell"" **PowerShell Commands:** ""Invoke-ShareFinder, Get-NetCurrentUser, Get-NetDomain"" **Detection Strategy:** ""The goal is to create a detection mechanism for these human errors that might otherwise go unnoticed during an intrusion"" **Operator Sloppiness:** ""These mistakes as signs of the threat actors' continued sloppiness""","logsource:
    category: process_creation
    product: windows
detection:
    selection_img:
        - OriginalFileName: 'Cmd.Exe'
        - Image|endswith: '\cmd.exe'
    selection_cli:
        CommandLine|contains:
            - 'Invoke-UserHunter'
            - 'Invoke-ShareFinder'
            - 'Invoke-Kerberoast'
            - 'Invoke-SMBAutoBrute'
            - 'Invoke-Nightmare'
            - 'zerologon'
            - 'av_query'
    condition: all of selection_*",
folder_04,proc_creation_win_hktl_cobaltstrike_load_by_rundll32.yml,"**Cobalt Strike Rundll32:** ""C:\Windows\system32\cmd.exe /C rundll32 C:\Windows\system32\SQL.dll, StartW"" **DLL Execution:** ""rundll32 C:\PerfLogs\arti64.dll, rundll"" and ""rundll32 C:\PerfLogs\socks64.dll, rundll"" **StartW Function:** Rundll32 can be used by Cobalt Strike with StartW function to load DLLs from the command line","logsource:
    category: process_creation
    product: windows
detection:
    selection_rundll:
        - Image|endswith: '\rundll32.exe'
        - OriginalFileName: RUNDLL32.EXE
        - CommandLine|contains:
              - 'rundll32.exe'
              - 'rundll32 '
    selection_params:
        CommandLine|contains: '.dll'
        CommandLine|endswith:
            - ' StartW'
            - ',StartW'
    condition: all of selection*",
folder_04,proc_creation_win_hktl_cobaltstrike_process_patterns.yml,"**Named Pipes:** ""Commonly uses named pipes with prefixes like \\postex_*, \\status_*, \\msagent_*"" **Rundll32 Patterns:** ""Often uses rundll32.exe to inject malicious code, with command line events showing rundll32.exe without arguments"" **Conhost Patterns:** ""Watch for suspicious rundll32.exe network connections"" **Pipe Redirection:** Monitor Sysmon Event IDs 17 and 18 for named pipes","logsource:
    category: process_creation
    product: windows
detection:
    selection_generic_1:
        CommandLine|endswith: 'cmd.exe /C whoami'
        ParentImage|startswith: 'C:\Temp\'
    selection_generic_2:
        ParentImage|endswith:
            - '\runonce.exe'
            - '\dllhost.exe'
        CommandLine|contains|all:
            - 'cmd.exe /c echo'
            - '> \\\\.\\pipe'
    selection_conhost_1:
        ParentCommandLine|contains|all:
            - 'cmd.exe /C echo'
            - ' > \\\\.\\pipe'
        CommandLine|endswith: 'conhost.exe 0xffffffff -ForceV1'
    selection_conhost_2:
        ParentCommandLine|endswith: '/C whoami'
        CommandLine|endswith: 'conhost.exe 0xffffffff -ForceV1'
    condition: 1 of selection_*",
folder_04,proc_creation_win_hktl_inveigh.yml,"**Domain Controller Usage:** ""Inveigh was run on a domain controller during this PYSA/Mespinoza ransomware intrusion"" **Credential Access:** ""Used for network reconnaissance or credential harvesting purposes"" **Network MITM:** Cross-platform .NET IPv4/IPv6 machine-in-the-middle tool","logsource:
    category: process_creation
    product: windows
detection:
    selection:
        - Image|endswith: '\Inveigh.exe'
        - OriginalFileName:
              - '\Inveigh.exe'
              - '\Inveigh.dll'
        - Description: 'Inveigh'
        - CommandLine|contains:
              - ' -SpooferIP'
              - ' -ReplyToIPs '
              - ' -ReplyToDomains '
              - ' -ReplyToMACs '
              - ' -SnifferIP'
    condition: selection",
